participant,n_trials,complete_ratings,has_engagement,has_ai_usage,has_familiarity,exclude,duration,progress,finished,age_band,gender,colour_vision,familiarity,engagement,engagement_z,engagement_hi,engagement_lo,engagement_group,engagement_7item,engagement_7item_z,ai_usage,ai_usage_z,dist_none,dist_human,dist_ai,rating_none,rating_human,rating_ai,slope_none,slope_human,slope_ai,sd_none,sd_human,sd_ai
R_84px6Rg1cnE1Eze,27,yes,yes,yes,yes,,11934,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,1.1429,0.5579,0.75,0.4361,2.2222,3.4444,3.8889,3.7778,3.3333,3.1111,0.462,0.2946,-0.1268,2.3863,2.5,2.3154
R_7g77nYvExkopg2k,27,yes,yes,yes,yes,,504,100,True,55-64 years old,Male,"No, I am not colourblind",1.0,0.8333333333333334,0.2744329500484805,-0.7255670499515194,1.2744329500484806,high,1.0,0.2627,0.0,-1.0998,2.7778,2.8889,3.3333,3.5556,3.4444,4.0,-0.1473,-0.1456,0.061,1.1304,1.236,1.4142
R_8eXAcTAW8HaPh3C,27,yes,yes,yes,yes,,322,100,True,35-44 years old,Female,"No, I am not colourblind",1.0,0.3333333333333333,-0.7183686045386691,-1.7183686045386692,0.2816313954613308,low,0.8571,-0.0325,1.375,1.716,2.5556,2.3333,2.8889,6.4444,5.1111,4.6667,-0.5532,0.1805,0.525,2.4552,1.2693,1.8708
R_7pYl3A6BkOOjmSk,27,yes,yes,yes,yes,,260,100,True,18-24 years old,Male,"No, I am not colourblind",1.0,1.1666666666666667,0.9363006531065804,-0.0636993468934197,1.9363006531065805,high,1.1429,0.5579,0.625,0.1801,3.5556,3.0,2.0,5.7778,6.3333,6.3333,-0.1718,-0.1,-0.0625,1.5635,1.0,1.2247
R_3pWFHMOprmYVPuQ,27,yes,yes,yes,yes,,320,100,True,35-44 years old,Female,"No, I am not colourblind",1.0,0.0,-1.3802363075967687,-2.3802363075967685,-0.3802363075967687,low,0.0,-1.8031,0.125,-0.8438,3.6667,3.7778,2.0,5.2222,5.8889,5.5556,-0.071,-0.2128,-0.1142,0.9718,1.0541,0.7265
R_2FxOa0ZKJCiq9TQ,27,yes,yes,yes,yes,,187,100,True,35-44 years old,Male,"No, I am not colourblind",1.0,0.8333333333333334,0.2744329500484805,-0.7255670499515194,1.2744329500484806,high,0.8571,-0.0325,0.125,-0.8438,4.0,3.3333,3.1111,2.3333,2.6667,2.3333,0.0113,-0.0,0.1477,0.7071,0.7071,1.5811
R_1c5eceWIwyUKgph,27,yes,yes,yes,yes,,253,100,True,35-44 years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,0.7143,-0.3275,0.0,-1.0998,3.4444,3.4444,3.2222,4.0,4.0,4.1111,-0.0831,0.031,0.1146,1.2247,0.866,0.928
R_8mkGTQ9nrk9WqYa,27,yes,yes,yes,yes,,925,100,True,35-44 years old,Male,"No, I am not colourblind",1.0,0.0,-1.3802363075967687,-2.3802363075967685,-0.3802363075967687,low,0.0,-1.8031,0.25,-0.5878,3.4444,4.4444,5.5556,1.4444,1.4444,1.0,0.1763,0.1356,0.0,0.7265,1.424,0.0
R_2k1EtqaAJbqyy6T,27,yes,yes,yes,yes,,959,100,True,35-44 years old,Male,"No, I am not colourblind",1.0,0.1666666666666666,-1.049302456067719,-2.049302456067719,-0.0493024560677191,low,0.1429,-1.5079,0.0,-1.0998,3.2222,4.0,4.0,2.8889,2.3333,2.8889,-0.147,-0.1154,-0.1035,0.928,0.7071,0.928
R_31HsAjlyGpIjXxw,27,yes,yes,yes,yes,,420,100,True,18-24 years old,Male,"No, I am not colourblind",1.0,0.1666666666666666,-1.049302456067719,-2.049302456067719,-0.0493024560677191,low,0.4286,-0.9177,0.875,0.6921,2.4444,1.7778,2.0,4.8889,5.3333,4.8889,0.0701,0.0652,0.3177,1.6159,1.0,1.6915
R_2JVZ9P6oST7wBZV,27,yes,yes,yes,yes,,244,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.5714,-0.6227,0.25,-0.5878,3.2222,4.8889,5.0,3.8889,2.8889,1.6667,0.4125,-0.403,-0.1144,3.2575,2.9345,1.0
R_8jZCqXaPQsBAj8m,27,yes,yes,yes,yes,,261,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,0.7143,-0.3275,0.625,0.1801,3.8889,3.2222,1.7778,5.7778,5.2222,6.0,0.1407,-0.2275,0.0952,2.2791,1.7159,1.8708
R_8pbUVckL4vrNR72,27,yes,yes,yes,yes,,280,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.3333333333333333,-0.7183686045386691,-1.7183686045386692,0.2816313954613308,low,0.5714,-0.6227,0.875,0.6921,5.7778,4.4444,3.3333,4.8889,4.3333,4.2222,-0.5766,-0.4097,0.053,3.4801,3.8406,3.1929
R_8NkXJUf56JdzWfX,27,yes,yes,yes,yes,,897,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,0.0,-1.0998,4.2222,1.7778,2.5556,4.4444,3.0,4.1111,-0.4306,0.2544,0.0838,2.8333,1.8028,1.6159
R_8IKkBmQIakYPlcJ,27,yes,yes,yes,yes,,272,100,True,25-34 years old,Male,"No, I am not colourblind",5.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,1.0,0.2627,1.625,2.228,3.4444,3.6667,3.7778,3.7778,3.2222,4.4444,-0.1351,0.1682,0.1435,2.3333,1.8559,3.0459
R_2fwQI9QlOgd0KYf,27,yes,yes,yes,yes,,388,100,True,25-34 years old,Female,"No, I am not colourblind",2.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.1429,0.5579,0.125,-0.8438,3.5556,2.4444,3.6667,4.8889,3.7778,5.5556,-0.3123,0.317,-0.0449,1.8333,2.1667,2.7437
R_22XwnTwJCapHTi8,27,yes,yes,yes,yes,,316,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,1.1666666666666667,0.9363006531065804,-0.0636993468934197,1.9363006531065805,high,1.5714,1.4431,0.0,-1.0998,2.7778,2.3333,2.6667,5.5556,5.2222,5.8889,0.0,0.2807,-0.4236,1.236,2.4889,1.6159
R_8hM4uUMShpyj70F,27,yes,yes,yes,yes,,348,100,True,25-34 years old,Male,"No, I am not colourblind",1.0,1.1666666666666667,0.9363006531065804,-0.0636993468934197,1.9363006531065805,high,1.0,0.2627,1.25,1.46,1.6667,1.5556,2.0,5.6667,6.3333,5.2222,0.3971,-0.0526,0.218,1.6583,0.5,1.0929
R_2OVDljdBMy5esG8,27,yes,yes,yes,yes,,274,100,True,25-34 years old,Male,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,1.0,0.2627,0.125,-0.8438,3.1111,3.1111,2.3333,4.4444,3.1111,3.5556,0.0,-0.1519,-0.1029,1.424,1.2693,0.7265
R_8XhW2CzWLom8E2H,27,yes,yes,yes,yes,,476,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,1.1429,0.5579,0.875,0.6921,3.0,2.7778,3.2222,5.1111,6.1111,5.4444,0.1447,0.0785,0.0047,1.2693,1.8333,1.9437
R_80T2BQirwjdu7Cx,27,yes,yes,yes,yes,,848,100,True,45-54 years old,Female,"No, I am not colourblind",2.0,0.8333333333333334,0.2744329500484805,-0.7255670499515194,1.2744329500484806,high,1.2857,0.8529,0.375,-0.3318,3.8889,2.5556,1.8889,7.0,5.7778,6.6667,0.0,0.2072,0.1726,0.866,1.6415,1.0
