participant,n_trials,complete_ratings,has_engagement,has_ai_usage,has_familiarity,exclude,duration,progress,finished,age_band,gender,colour_vision,familiarity,engagement,engagement_z,engagement_hi,engagement_lo,engagement_group,engagement_7item,engagement_7item_z,ai_usage,ai_usage_z,dist_none,dist_human,dist_ai,rating_none,rating_human,rating_ai,slope_none,slope_human,slope_ai,sd_none,sd_human,sd_ai
R_2JCbQmAVII9bqsF,27,yes,yes,yes,yes,,521,90,False,25-34 years old,Male,"No, I am not colourblind",1.0,0.3333333333333333,-0.7183686045386691,-1.7183686045386692,0.2816313954613308,low,0.5714,-0.6227,0.375,-0.3318,2.7778,2.7778,2.1111,6.5556,4.6667,6.2222,-0.1574,-0.0209,0.2222,1.9437,1.4142,1.6415
R_1EhzDFIjfcJ4GVE,0,no,no,no,no,,17,50,False,18-24 years old,Female,"No, I am not colourblind",,,,,,,,,,,,,,,,,,,,,,
R_84BpUxlwMqyuFce,3,no,no,no,no,,61,50,False,45-54 years old,Male,"No, I am not colourblind",,,,,,,,,,,1.0,2.0,,2.0,5.0,,,,,,1.4142,
R_9j7IV8vQLzCxNtW,9,no,no,no,no,,124,50,False,35-44 years old,Non-binary / third gender,"No, I am not colourblind",,,,,,,,,,,2.5,4.5,2.0,7.0,4.5,5.6667,0.5926,,0.4615,2.1602,2.1213,2.3094
R_8X88jtPqVNgQ8wN,27,yes,yes,yes,yes,,418,90,False,25-34 years old,Female,"No, I am not colourblind",1.0,1.5,1.5981683561646798,0.5981683561646798,2.59816835616468,high,1.4286,1.1481,0.0,-1.0998,2.6667,2.0,2.8889,4.3333,6.0,4.5556,0.0878,0.3714,0.3149,1.8028,1.9365,2.2423
R_3fMGZyDmRXtuxz6,27,yes,yes,yes,yes,,217,90,False,45-54 years old,Female,"No, I am not colourblind",1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.4286,1.1481,0.125,-0.8438,2.5556,2.5556,2.2222,4.6667,6.1111,6.1111,-0.1446,0.2009,0.064,1.5,2.2048,1.7638
R_4Dj3Ffj4k2hGKT0,27,yes,yes,yes,yes,,303,90,False,18-24 years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,1.1429,0.5579,0.625,0.1801,2.7778,3.4444,3.2222,5.4444,6.3333,7.2222,0.2343,0.1417,0.1369,2.8771,3.1225,3.0732
R_3J2BlZm35O4pNOC,0,no,no,no,no,,37,50,False,18-24 years old,Female,"No, I am not colourblind",,,,,,,,,,,,,,,,,,,,,,
R_10khHNSEM3puHPY,27,yes,yes,yes,yes,,561,90,False,25-34 years old,Female,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.5714,-0.6227,0.25,-0.5878,2.1111,3.0,2.8889,6.3333,5.8889,6.2222,0.1364,0.0321,0.0492,1.7321,1.1667,0.9718
R_1bVIiSKeqwEyGpC,9,no,no,no,no,,500,50,False,18-24 years old,Male,"No, I am not colourblind",,,,,,,,,,,4.5,2.75,2.0,3.0,3.75,5.3333,,0.3571,0.8846,1.4142,1.7078,2.0817
R_83mIMefH2Ef2sdr,27,yes,yes,yes,yes,,293,90,False,18-24 years old,Non-binary / third gender,"No, I am not colourblind",1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.0,0.2627,0.0,-1.0998,3.2222,3.8889,2.8889,5.7778,5.2222,4.1111,-0.5491,-0.3056,-0.4805,2.6822,1.9861,1.9003
R_8WR3NUDvrUiADrH,27,yes,yes,yes,yes,,367,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,1.1666666666666667,0.9363006531065804,-0.0636993468934197,1.9363006531065805,high,1.1429,0.5579,0.375,-0.3318,2.2222,2.2222,2.7778,3.0,3.2222,3.4444,0.2561,0.257,0.1712,1.5811,1.3017,1.5899
R_2s639bEz4avHjGp,27,yes,yes,yes,yes,,344,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.8571,-0.0325,0.375,-0.3318,3.7778,2.8889,3.1111,5.0,5.1111,4.0,-0.2336,0.0095,0.06,2.0,1.2693,1.9365
R_2ScqI544SREzKLV,27,yes,yes,yes,yes,,809,90,False,45-54 years old,Female,"No, I am not colourblind",1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.0,0.2627,0.0,-1.0998,2.4444,2.7778,2.1111,6.7778,6.7778,6.8889,-0.0946,-0.0979,0.0526,0.441,0.441,0.3333
R_7E56cA3f55Ka2qz,8,no,no,no,no,,228,50,False,18-24 years old,Male,"No, I am not colourblind",,,,,,,,,,,2.3333,1.0,2.3333,6.3333,6.0,7.3333,-0.3333,,-0.25,0.5774,2.8284,2.0817
R_8lnKiLGT17HlH9z,0,no,no,no,no,,44,40,False,18-24 years old,Male,"No, I am not colourblind",,,,,,,,,,,,,,,,,,,,,,
R_8jxPpPqHgUZ3xzH,1,no,no,no,no,,207,50,False,65+ years old,Female,"No, I am not colourblind",,,,,,,,,,,,3.0,,,6.0,,,,,,,
R_8QnoTMltrXbd8F2,27,yes,no,no,no,,376,60,False,18-24 years old,Female,"No, I am not colourblind",,,,,,,,,,,4.6667,3.7778,2.3333,5.8889,4.0,4.1111,-0.8966,0.375,0.5177,3.7565,3.5707,3.2575
R_20y4rxiL1giBuKZ,0,no,no,no,no,,37,50,False,35-44 years old,Female,"No, I am not colourblind",,,,,,,,,,,,,,,,,,,,,,
R_871k7IGYPkOXwZf,27,yes,yes,yes,yes,,314,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.1429,0.5579,0.375,-0.3318,2.6667,1.3333,1.6667,5.3333,4.3333,4.7778,0.1771,0.2083,0.1658,1.7321,1.0,0.9718
R_2fwJGOzFUna1W5j,27,yes,yes,yes,yes,,316,100,True,25-34 years old,Female,"No, I am not colourblind",3.0,1.1666666666666667,0.9363006531065804,-0.0636993468934197,1.9363006531065805,high,1.5714,1.4431,0.625,0.1801,1.8889,1.8889,2.4444,5.6667,5.3333,5.6667,0.4615,0.25,-0.0238,2.5,2.2361,2.1213
R_2qvsxdyZ5hG0rst,10,no,no,no,no,,103,50,False,25-34 years old,Male,"No, I am not colourblind",,,,,,,,,,,6.5,4.0,4.6667,1.5,1.5,2.0,,,0.121,0.7071,0.7071,1.2649
R_2yfM0eKDh5RrSuF,27,yes,yes,yes,yes,,270,90,False,25-34 years old,Male,"No, I am not colourblind",1.0,0.1666666666666666,-1.049302456067719,-2.049302456067719,-0.0493024560677191,low,0.2857,-1.2129,1.25,1.46,1.8889,2.8889,2.0,5.5556,3.3333,4.5556,0.4072,-0.0106,0.3527,2.4037,2.0,1.9437
R_1prqS079vKs4gWm,6,no,no,no,no,,100,50,False,35-44 years old,Female,"No, I am not colourblind",,,,,,,,,,,4.6667,1.0,2.0,5.3333,6.0,5.5,-0.0556,,,0.5774,,0.7071
R_2eaZAe1zTZr6DFX,27,yes,yes,yes,yes,colourblind,460,100,True,55-64 years old,Female,"Yes, and I do not perceive colours",2.0,,,,,,3.7143,5.87,1.25,1.46,1.8889,2.1111,1.8889,7.3333,7.3333,6.4444,-0.0455,-0.0407,0.2694,0.7071,0.7071,1.0138
R_8TI6QHRtAExxxNR,27,yes,yes,yes,yes,,22975,100,True,45-54 years old,Male,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,1.0,0.2627,0.25,-0.5878,3.3333,2.7778,3.3333,6.4444,6.6667,5.7778,-0.328,0.1342,-0.2152,1.424,1.7321,1.3944
